RECORD_TIME,BATTERY_VOLTAGE,COOLANT_TEMPER,DRIVE_SPEED,RPM
2020-06-15 00:24:04+00:00,286,-171,0,499
2020-06-15 00:24:05+00:00,286,-171,0,499
2020-06-15 00:24:06+00:00,286,-171,0,499
2020-06-15 00:24:07+00:00,282,-161,0,499
2020-06-15 00:24:08+00:00,282,-161,1,499
2020-06-15 00:24:09+00:00,284,-161,0,502
2020-06-15 00:24:10+00:00,284,-161,0,502
2020-06-15 00:24:11+00:00,286,-161,0,500
2020-06-15 00:24:12+00:00,286,-161,0,500
2020-06-15 00:24:13+00:00,285,-161,1,504
2020-06-15 00:24:14+00:00,285,-161,0,504
2020-06-15 00:24:15+00:00,286,-161,0,495
2020-06-15 00:24:16+00:00,284,-161,0,498
2020-06-15 00:24:17+00:00,285,-161,1,498
2020-06-15 00:24:18+00:00,276,-161,2,473
2020-06-15 00:24:19+00:00,285,-161,2,454
2020-06-15 00:24:20+00:00,287,-161,3,299
2020-06-15 00:24:21+00:00,279,-161,5,553
2020-06-15 00:24:22+00:00,287,-161,5,461
2020-06-15 00:24:23+00:00,286,-161,5,461
2020-06-15 00:24:25+00:00,285,-161,7,646
2020-06-15 00:24:26+00:00,285,-151,9,834
2020-06-15 00:24:27+00:00,286,-151,10,973
2020-06-15 00:24:28+00:00,285,-151,10,973
2020-06-15 00:24:29+00:00,285,-151,12,1105
2020-06-15 00:24:30+00:00,287,-151,13,1232
2020-06-15 00:24:31+00:00,285,-151,13,1225
2020-06-15 00:24:32+00:00,285,-151,12,1208
2020-06-15 00:24:33+00:00,286,-151,9,1101
2020-06-15 00:24:34+00:00,285,-151,8,1101
2020-06-15 00:24:35+00:00,284,-151,9,936
2020-06-15 00:24:36+00:00,285,-151,9,891
2020-06-15 00:24:37+00:00,285,-151,7,852
2020-06-15 00:24:38+00:00,286,-141,5,646
2020-06-15 00:24:39+00:00,286,-141,5,646
2020-06-15 00:24:40+00:00,286,-141,4,590
2020-06-15 00:24:41+00:00,284,-141,4,586
2020-06-15 00:24:42+00:00,284,-141,4,623
2020-06-15 00:24:43+00:00,286,-141,5,551
2020-06-15 00:24:44+00:00,286,-141,8,595
2020-06-15 00:24:45+00:00,286,-141,7,595
2020-06-15 00:24:46+00:00,287,-141,6,562
2020-06-15 00:24:47+00:00,285,-141,3,498
2020-06-15 00:24:48+00:00,287,-141,2,503
2020-06-15 00:24:49+00:00,287,-131,1,503
2020-06-15 00:24:50+00:00,285,-131,0,503
2020-06-15 00:24:51+00:00,287,-131,0,503
2020-06-15 00:24:52+00:00,286,-131,0,500
2020-06-15 00:24:53+00:00,287,-131,0,498
2020-06-15 00:24:54+00:00,286,-131,0,500
2020-06-15 00:24:55+00:00,286,-131,0,499
2020-06-15 00:24:56+00:00,285,-131,0,499
2020-06-15 00:24:57+00:00,282,-131,0,500
2020-06-15 00:24:58+00:00,276,-131,0,240
2020-06-15 00:24:59+00:00,275,-131,0,34
2020-06-15 00:25:00+00:00,275,-131,0,0
2020-06-15 00:25:01+00:00,276,-131,0,0
2020-06-15 00:25:02+00:00,276,-131,0,0
2020-06-15 00:25:03+00:00,276,-131,0,0
2020-06-15 00:26:45+00:00,284,-121,0,522
2020-06-15 00:26:46+00:00,284,-121,0,522
2020-06-15 00:26:47+00:00,284,-121,0,497
2020-06-15 00:26:48+00:00,284,-121,0,497
2020-06-15 00:26:49+00:00,285,-121,0,504
2020-06-15 00:26:50+00:00,284,-121,0,504
2020-06-15 00:26:51+00:00,284,-121,0,504
2020-06-15 00:26:52+00:00,285,-121,0,492
2020-06-15 00:26:53+00:00,285,-121,0,514
2020-06-15 00:26:54+00:00,285,-121,0,514
2020-06-15 00:26:55+00:00,285,-121,0,495
2020-06-15 00:26:56+00:00,285,-121,0,506
2020-06-15 00:26:57+00:00,284,-121,1,481
2020-06-15 00:26:58+00:00,285,-121,1,515
2020-06-15 00:26:59+00:00,286,-121,2,511
2020-06-15 00:27:00+00:00,285,-121,2,511
2020-06-15 00:27:01+00:00,286,-121,2,505
2020-06-15 00:27:02+00:00,285,-121,2,724
2020-06-15 00:27:03+00:00,285,-121,3,752
2020-06-15 00:27:04+00:00,286,-121,2,775
2020-06-15 00:27:05+00:00,285,-111,2,733
2020-06-15 00:27:06+00:00,284,-111,3,733
2020-06-15 00:27:07+00:00,285,-111,2,722
2020-06-15 00:27:08+00:00,285,-111,1,755
2020-06-15 00:27:09+00:00,285,-111,2,729
2020-06-15 00:27:10+00:00,285,-111,2,752
2020-06-15 00:27:11+00:00,285,-111,1,752
2020-06-15 00:27:12+00:00,286,-111,2,701
2020-06-15 00:27:13+00:00,286,-111,2,680
2020-06-15 00:27:14+00:00,286,-111,1,508
2020-06-15 00:27:15+00:00,285,-111,0,498
2020-06-15 00:27:16+00:00,285,-111,2,728
2020-06-15 00:27:17+00:00,284,-111,3,728
2020-06-15 00:27:18+00:00,284,-111,2,617
2020-06-15 00:27:19+00:00,285,-111,0,472
2020-06-15 00:27:20+00:00,285,-111,0,496
2020-06-15 00:27:21+00:00,285,-111,2,496
2020-06-15 00:27:22+00:00,285,-111,4,487
2020-06-15 00:27:23+00:00,287,-111,6,463
2020-06-15 00:27:24+00:00,285,-101,7,617
2020-06-15 00:27:26+00:00,285,-101,8,664
2020-06-15 00:27:27+00:00,285,-101,6,573
2020-06-15 00:27:28+00:00,285,-101,1,514
2020-06-15 00:27:29+00:00,286,-101,0,494
2020-06-15 00:27:30+00:00,285,-101,0,472
2020-06-15 00:27:31+00:00,284,-101,2,523
2020-06-15 00:27:32+00:00,285,-101,3,523
2020-06-15 00:27:33+00:00,285,-101,3,748
2020-06-15 00:27:34+00:00,286,-101,3,886
2020-06-15 00:27:35+00:00,285,-101,3,978
2020-06-15 00:27:36+00:00,286,-101,4,978
2020-06-15 00:27:37+00:00,286,-101,3,978
2020-06-15 00:27:38+00:00,286,-101,3,926
2020-06-15 00:27:39+00:00,287,-101,3,981
2020-06-15 00:27:40+00:00,285,-101,3,830
2020-06-15 00:27:41+00:00,286,-91,4,1007
2020-06-15 00:27:42+00:00,285,-91,4,1007
2020-06-15 00:27:43+00:00,286,-91,4,1137
2020-06-15 00:27:44+00:00,285,-91,3,1095
2020-06-15 00:27:45+00:00,285,-91,3,895
2020-06-15 00:27:46+00:00,285,-91,3,895
2020-06-15 00:27:47+00:00,285,-91,2,900
2020-06-15 00:27:48+00:00,286,-91,2,715
2020-06-15 00:27:49+00:00,285,-91,3,734
2020-06-15 00:27:50+00:00,285,-91,3,734
2020-06-15 00:27:51+00:00,286,-91,2,654
2020-06-15 00:27:52+00:00,286,-91,0,530
2020-06-15 00:27:53+00:00,286,-91,0,530
2020-06-15 00:27:54+00:00,286,-91,0,530
2020-06-15 00:27:55+00:00,287,-91,0,509
2020-06-15 00:27:56+00:00,286,-91,0,500
2020-06-15 00:27:57+00:00,277,-81,0,268
2020-06-15 00:27:58+00:00,276,-81,0,28
2020-06-15 00:27:59+00:00,275,-81,0,28
2020-06-15 00:28:00+00:00,276,-81,0,0
2020-06-15 00:28:01+00:00,274,-81,0,0
2020-06-15 00:28:02+00:00,274,-81,0,0
2020-06-15 00:28:03+00:00,274,-81,0,0
2020-06-15 00:28:04+00:00,274,-81,0,0
2020-06-15 00:28:05+00:00,274,-81,0,0
2020-06-15 00:28:06+00:00,274,-81,0,0
2020-06-15 00:28:07+00:00,274,-81,0,0
2020-06-15 00:28:08+00:00,274,-81,0,0
2020-06-15 00:28:09+00:00,274,-81,0,0
2020-06-15 00:28:10+00:00,274,-81,0,0
2020-06-15 00:28:11+00:00,274,-81,0,0
2020-06-15 00:28:12+00:00,274,-81,0,0
2020-06-15 00:28:13+00:00,274,-81,0,0
2020-06-15 00:28:14+00:00,274,-81,0,0
2020-06-15 00:28:15+00:00,274,-81,0,0
2020-06-15 00:28:16+00:00,274,-81,0,0
2020-06-15 00:28:17+00:00,274,-81,0,0
2020-06-15 00:28:18+00:00,274,-81,0,0
2020-06-15 00:28:19+00:00,274,-81,0,0
2020-06-15 00:28:20+00:00,274,-81,0,0
2020-06-15 00:28:21+00:00,274,-81,0,0
2020-06-15 00:28:22+00:00,274,-81,0,0
2020-06-15 00:28:23+00:00,274,-81,0,0
2020-06-15 00:28:24+00:00,274,-81,0,0
2020-06-15 00:28:25+00:00,274,-81,0,0
2020-06-15 00:28:26+00:00,274,-81,0,0
2020-06-15 00:28:27+00:00,274,-81,0,0
2020-06-15 00:28:28+00:00,274,-81,0,0
2020-06-15 00:28:29+00:00,274,-81,0,0
2020-06-15 00:28:30+00:00,274,-81,0,0
2020-06-15 00:28:31+00:00,274,-81,0,0
2020-06-15 00:28:32+00:00,274,-81,0,0
2020-06-15 00:28:33+00:00,274,-81,0,0
2020-06-15 00:28:34+00:00,274,-81,0,0
2020-06-15 00:28:35+00:00,274,-81,0,0
2020-06-15 00:28:36+00:00,274,-81,0,0
2020-06-15 00:28:37+00:00,274,-81,0,0
2020-06-15 00:28:38+00:00,274,-81,0,0
2020-06-15 00:28:39+00:00,274,-81,0,0
2020-06-15 00:28:40+00:00,274,-81,0,0
2020-06-15 00:28:41+00:00,274,-81,0,0
2020-06-15 00:28:42+00:00,274,-81,0,0
2020-06-15 00:28:43+00:00,274,-81,0,0
2020-06-15 00:28:44+00:00,274,-81,0,0
2020-06-15 00:28:45+00:00,274,-81,0,0
2020-06-15 00:28:46+00:00,274,-81,0,0
2020-06-15 00:28:47+00:00,274,-81,0,0
2020-06-15 00:28:48+00:00,274,-81,0,0
2020-06-15 00:28:49+00:00,274,-81,0,0
2020-06-15 00:28:50+00:00,274,-81,0,0
2020-06-15 00:28:51+00:00,274,-81,0,0
2020-06-15 00:28:52+00:00,274,-81,0,0
2020-06-15 00:28:53+00:00,274,-81,0,0
2020-06-15 00:28:54+00:00,274,-81,0,0
2020-06-15 00:28:55+00:00,274,-81,0,0
2020-06-15 00:28:56+00:00,274,-81,0,0
2020-06-15 00:28:57+00:00,274,-81,0,0
2020-06-15 00:28:58+00:00,274,-81,0,0
2020-06-15 00:28:59+00:00,274,-81,0,0
2020-06-15 00:29:00+00:00,274,-81,0,0
2020-06-15 00:29:01+00:00,274,-81,0,0
2020-06-15 00:29:02+00:00,274,-81,0,0
2020-06-15 00:29:03+00:00,274,-81,0,0
2020-06-15 00:29:04+00:00,274,-81,0,0
2020-06-15 00:29:05+00:00,274,-81,0,0
2020-06-15 00:29:06+00:00,274,-81,0,0
2020-06-15 00:29:07+00:00,274,-81,0,0
2020-06-15 00:29:08+00:00,274,-81,0,0
2020-06-15 00:29:09+00:00,274,-81,0,0
2020-06-15 00:29:10+00:00,274,-81,0,0
2020-06-15 00:29:11+00:00,274,-81,0,0
2020-06-15 00:29:12+00:00,274,-81,0,0
2020-06-15 00:29:13+00:00,274,-81,0,0
2020-06-15 00:29:14+00:00,274,-81,0,0
2020-06-15 00:29:15+00:00,274,-81,0,0
2020-06-15 00:29:16+00:00,274,-81,0,0
2020-06-15 00:29:17+00:00,274,-81,0,0
2020-06-15 00:29:18+00:00,274,-81,0,0
2020-06-15 00:29:19+00:00,274,-81,0,0
2020-06-15 00:29:20+00:00,274,-81,0,0
2020-06-15 00:29:21+00:00,274,-81,0,0
2020-06-15 00:29:22+00:00,274,-81,0,0
2020-06-15 00:29:23+00:00,274,-81,0,0
2020-06-15 00:29:24+00:00,274,-81,0,0
2020-06-15 00:29:25+00:00,274,-81,0,0
2020-06-15 00:29:26+00:00,274,-81,0,0
2020-06-15 00:29:27+00:00,274,-81,0,0
2020-06-15 00:29:28+00:00,274,-81,0,0
2020-06-15 00:29:29+00:00,274,-81,0,0
2020-06-15 00:29:30+00:00,274,-81,0,0
2020-06-15 00:29:31+00:00,274,-81,0,0
2020-06-15 00:29:32+00:00,274,-81,0,0
2020-06-15 00:29:33+00:00,274,-81,0,0
2020-06-15 00:29:34+00:00,274,-81,0,0
2020-06-15 00:29:35+00:00,274,-81,0,0
2020-06-15 00:29:36+00:00,274,-81,0,0
2020-06-15 00:29:37+00:00,274,-81,0,0
2020-06-15 00:29:38+00:00,274,-81,0,0
2020-06-15 00:29:39+00:00,274,-81,0,0
2020-06-15 00:29:40+00:00,274,-81,0,0
2020-06-15 00:29:41+00:00,274,-81,0,0
2020-06-15 00:29:42+00:00,274,-81,0,0
2020-06-15 00:29:43+00:00,274,-81,0,0
2020-06-15 00:29:44+00:00,274,-81,0,0
2020-06-15 00:29:45+00:00,274,-81,0,0
